Artist ID,Album ID,Album URL,Album date,Video link,Album type,Label,ID
Idol-taehyun,2026-like-the-movies,/musicalbums/2026-Like-the-movies,260130,FG2BQp9oRik,,,
Group-navillera,2026-no-limit,/musicalbums/2026-No-Limit,260203,5221XAQ6aTc,,,
Group-one-or-eight,2026-gather,/musicalbums/2026-GATHER,260124,Qcz-7evvAqY,single,AVEX Music Creative Inc.,f3f26247-d788-4e15-b4c7-815ae697a232
Group-one-pact,2026-1-only,/musicalbums/2026-1-ONLY,260226,,,,
Idol-gongwon,2026-flower,/musicalbums/2026-Flower,260130,3NqKXg2gxcc,,,
Idol-lee-jiham,2026-forever-mine,/musicalbums/2026-Forever-Mine,260129,bAENPpwyOU4,,,
Idol-leebada,2026-offline,/musicalbums/2026-Offline,260117,CuHBrVR5J7s,,,
Group-hi-fi-un-corn,2026-super-duper,/musicalbums/2026-SUPER-DUPER,260114,e8X35-Teneg,,,
Group-hi-fi-un-corn,2026-laila,/musicalbums/2026-LAILA,260130,XECOC6C_Nr4,,,
Group-ive,2026-bang-bang,/musicalbums/2026-BANG-BANG,260209,WXav5B0ppUo,,,
Group-sweden-laundry,2026-forevermore,/musicalbums/2026-Forevermore,260120,4oktaGUvcTI,,,
Idol-unknown,2026-project-y-original-motion-picture-soundtrack,/musicalbums/2026-Project-Y-Original-Motion-Picture-Soundtrack,260121,BN3sEtwD7qU,,,
Idol-jiwoo,2026-ex-ist,/musicalbums/2026-EX-IST,260211,WBAIQVnkMcE,,,
Group-rolling-quartz,2026-romantist,/musicalbums/2026-Romantist,260128,rlKaNmMCew4,,,
Idol-d-ark,2026-lovex,/musicalbums/2026-LOVEX,260202,hoep54xEUeU,,,
Idol-goopy,2026-loved-up,/musicalbums/2026-Loved-up,260202,1NJkrWfJgbU,,,
Idol-kassy,2026-a-love-just-for-you,/musicalbums/2026-A-Love-Just-For-You,260201,39upRxI7Yvc,,,
Idol-woodz,2026-archive-1,/musicalbums/2026-Archive-1,260304,aT26fdm0ZFs,,,
